t,x,y,theta
0.000,0.193,0.103,0.492
3.337E-02,0.193,9.931E-02,0.476
6.673E-02,0.198,9.18E-02,0.433
0.100,0.204,7.935E-02,0.371
0.133,0.210,5.702E-02,0.265
0.167,0.215,3.636E-02,0.168
0.200,0.218,1.161E-02,5.333E-02
0.234,0.216,-1.388E-02,-6.411E-02
0.267,0.217,-4.024E-02,-0.183
0.300,0.213,-6.073E-02,-0.278
0.334,0.205,-8.034E-02,-0.373
0.367,0.202,-9.182E-02,-0.426
0.400,0.199,-0.102,-0.472
0.434,0.196,-0.103,-0.485
0.467,0.199,-9.998E-02,-0.466
0.501,0.201,-9.755E-02,-0.452
0.534,0.208,-8.204E-02,-0.376
0.567,0.216,-6.491E-02,-0.292
0.601,0.219,-4.439E-02,-0.200
0.634,0.222,-2.057E-02,-9.246E-02
0.667,0.222,6.582E-03,2.959E-02
0.701,0.220,3.05E-02,0.138
0.734,0.211,5.206E-02,0.242
0.767,0.205,7.029E-02,0.331
0.801,0.198,8.193E-02,0.392
0.834,0.195,9.186E-02,0.440
0.868,0.190,9.689E-02,0.471
0.901,0.191,9.852E-02,0.476
0.934,0.193,9.107E-02,0.440
0.968,0.198,8.275E-02,0.395
1.001,0.202,6.704E-02,0.320
1.034,0.208,4.964E-02,0.234
1.068,0.215,2.73E-02,0.127
1.101,0.216,5.059E-03,2.344E-02
1.134,0.219,-2.052E-02,-9.328E-02
1.168,0.216,-4.186E-02,-0.192
1.201,0.211,-6.317E-02,-0.291
1.235,0.206,-8.118E-02,-0.376
1.268,0.202,-9.264E-02,-0.429
1.301,0.202,-9.922E-02,-0.456
1.335,0.201,-0.103,-0.474
1.368,0.202,-9.922E-02,-0.456
1.401,0.206,-8.941E-02,-0.410
1.435,0.214,-7.393E-02,-0.332
1.468,0.218,-6.083E-02,-0.272
1.502,0.221,-3.701E-02,-0.166
1.535,0.223,-1.565E-02,-7.013E-02
1.568,0.222,1.153E-02,5.2E-02
1.602,0.220,3.215E-02,0.145
1.635,0.212,5.205E-02,0.241
1.668,0.205,6.947E-02,0.327
1.702,0.199,8.027E-02,0.383
1.735,0.195,9.022E-02,0.433
1.768,0.191,9.276E-02,0.452
1.802,0.189,9.115E-02,0.449
1.835,0.192,8.616E-02,0.422
1.869,0.197,7.536E-02,0.365
1.902,0.201,6.048E-02,0.292
1.935,0.210,4.138E-02,0.195
1.969,0.214,1.827E-02,8.536E-02
2.002,0.217,-4.023E-03,-1.852E-02
2.035,0.217,-2.706E-02,-0.124
2.069,0.215,-5.007E-02,-0.229
2.102,0.210,-6.809E-02,-0.313
2.135,0.208,-8.286E-02,-0.380
2.169,0.204,-9.349E-02,-0.430
2.202,0.201,-9.919E-02,-0.459
2.236,0.202,-0.102,-0.466
2.269,0.206,-9.765E-02,-0.442
2.302,0.212,-8.623E-02,-0.387
2.336,0.217,-7.068E-02,-0.315
2.369,0.223,-5.269E-02,-0.232
2.402,0.227,-3.3E-02,-0.145
2.436,0.225,-9.112E-03,-4.041E-02
2.469,0.223,1.644E-02,7.347E-02
2.503,0.219,3.957E-02,0.179
2.536,0.212,5.616E-02,0.259
2.569,0.204,7.277E-02,0.343
2.603,0.197,8.194E-02,0.393
2.636,0.193,8.778E-02,0.426
2.669,0.191,9.112E-02,0.445
2.703,0.193,8.78E-02,0.428
2.736,0.195,7.952E-02,0.387
2.769,0.199,6.875E-02,0.333
2.803,0.203,5.386E-02,0.260
2.836,0.210,3.562E-02,0.168
2.870,0.215,1.495E-02,6.938E-02
2.903,0.216,-9.767E-03,-4.513E-02
2.936,0.217,-3.035E-02,-0.139
2.970,0.212,-5.085E-02,-0.235
3.003,0.210,-7.056E-02,-0.324
3.036,0.208,-8.452E-02,-0.385
3.070,0.205,-9.186E-02,-0.421
3.103,0.205,-9.927E-02,-0.451
3.136,0.202,-9.675E-02,-0.446
3.170,0.206,-9.27E-02,-0.423
3.203,0.212,-8.129E-02,-0.367
3.237,0.217,-6.492E-02,-0.291
3.270,0.222,-4.691E-02,-0.208
3.303,0.224,-2.391E-02,-0.106
3.337,0.223,-8.38E-04,-3.757E-03
3.370,0.219,2.063E-02,9.379E-02
3.403,0.215,4.294E-02,0.197
3.437,0.206,5.956E-02,0.281
3.470,0.201,7.117E-02,0.340
3.504,0.196,8.033E-02,0.389
3.537,0.193,8.367E-02,0.408
3.570,0.190,8.455E-02,0.419
3.604,0.192,8.204E-02,0.403
3.637,0.196,7.292E-02,0.357
3.670,0.200,6.297E-02,0.306
3.704,0.207,4.803E-02,0.228
3.737,0.214,2.979E-02,0.138
3.770,0.217,5.866E-03,2.708E-02
3.804,0.218,-1.227E-02,-5.623E-02
3.837,0.219,-3.698E-02,-0.167
3.871,0.215,-5.502E-02,-0.250
3.904,0.213,-7.39E-02,-0.334
3.937,0.210,-8.373E-02,-0.379
3.971,0.208,-9.11E-02,-0.412
4.004,0.210,-9.771E-02,-0.436
4.037,0.211,-9.362E-02,-0.418
4.071,0.212,-8.46E-02,-0.379
4.104,0.217,-7.644E-02,-0.339
4.137,0.220,-6.087E-02,-0.270
4.171,0.226,-4.122E-02,-0.181
4.204,0.226,-1.9E-02,-8.388E-02
4.238,0.224,3.261E-03,1.456E-02
4.271,0.219,2.639E-02,0.120
4.304,0.214,4.46E-02,0.205
4.338,0.208,5.953E-02,0.279
4.371,0.200,6.872E-02,0.330
4.404,0.195,7.705E-02,0.377
4.438,0.194,8.036E-02,0.393
4.471,0.192,8.039E-02,0.396
4.505,0.193,7.544E-02,0.372
4.538,0.197,6.796E-02,0.332
4.571,0.202,5.47E-02,0.265
4.605,0.207,4.144E-02,0.198
4.638,0.211,2.325E-02,0.110
4.671,0.217,2.575E-03,1.189E-02
4.705,0.217,-1.883E-02,-8.659E-02
4.738,0.219,-4.027E-02,-0.182
4.771,0.219,-5.755E-02,-0.257
4.805,0.213,-7.309E-02,-0.330
4.838,0.212,-8.377E-02,-0.376
4.872,0.212,-8.869E-02,-0.397
4.905,0.211,-9.199E-02,-0.410
4.938,0.212,-8.869E-02,-0.397
4.972,0.213,-8.214E-02,-0.368
5.005,0.220,-6.745E-02,-0.297
5.038,0.221,-5.184E-02,-0.230
