t,x,y,theta,,,
0.000,0.264,0.149,0.515,,,
3.337E-02,0.267,0.145,0.498,,,
6.673E-02,0.273,0.136,0.461,,,
0.100,0.281,0.123,0.412,,,
0.133,0.287,0.104,0.347,,,
0.167,0.295,7.858E-02,0.261,,,
0.200,0.302,5.108E-02,0.168,,,
0.234,0.306,2.357E-02,7.677E-02,,,
0.267,0.304,-5.5E-03,-1.809E-02,,,
0.300,0.304,-3.536E-02,-0.116,,,
0.334,0.297,-6.051E-02,-0.201,,,
0.367,0.290,-8.565E-02,-0.287,,,
0.400,0.281,-0.109,-0.371,,,
0.434,0.273,-0.126,-0.432,,,
0.467,0.266,-0.136,-0.473,,,
0.500,0.262,-0.145,-0.505,,,
0.534,0.260,-0.142,-0.500,,,
0.567,0.262,-0.141,-0.494,,,
0.601,0.265,-0.134,-0.467,,,
0.634,0.271,-0.121,-0.420,,,
0.667,0.282,-0.105,-0.357,,,
0.701,0.288,-8.644E-02,-0.291,,,
0.734,0.294,-6.443E-02,-0.216,,,
0.767,0.297,-3.85E-02,-0.129,,,
0.801,0.299,-9.429E-03,-3.157E-02,,,
0.834,0.297,2.122E-02,7.131E-02,,,
0.868,0.298,4.636E-02,0.154,,,
0.901,0.290,7.308E-02,0.247,,,
0.934,0.284,9.665E-02,0.328,,,
0.968,0.280,0.113,0.384,,,
1.001,0.271,0.129,0.444,,,
1.034,0.268,0.141,0.483,,,
1.068,0.266,0.142,0.490,,,
1.101,0.266,0.143,0.494,,,
1.134,0.267,0.140,0.482,,,
1.168,0.272,0.130,0.445,,,
1.201,0.279,0.114,0.388,,,
1.235,0.285,9.744E-02,0.329,,,
1.268,0.294,7.386E-02,0.246,,,
1.301,0.299,4.793E-02,0.159,,,
1.335,0.303,1.729E-02,5.708E-02,,,
1.368,0.303,-1.022E-02,-3.367E-02,,,
1.401,0.297,-3.929E-02,-0.132,,,
1.435,0.292,-6.915E-02,-0.232,,,
1.468,0.285,-9.036E-02,-0.307,,,
1.502,0.278,-0.108,-0.372,,,
1.535,0.274,-0.120,-0.413,,,
1.568,0.266,-0.129,-0.451,,,
1.602,0.265,-0.138,-0.479,,,
1.635,0.262,-0.138,-0.484,,,
1.668,0.265,-0.134,-0.470,,,
1.702,0.270,-0.128,-0.444,,,
1.735,0.277,-0.116,-0.397,,,
1.768,0.283,-0.101,-0.344,,,
1.802,0.289,-8.094E-02,-0.273,,,
1.835,0.295,-5.972E-02,-0.200,,,
1.869,0.299,-3.143E-02,-0.105,,,
1.902,0.300,-5.5E-03,-1.832E-02,,,
1.935,0.299,2.122E-02,7.075E-02,,,
1.969,0.295,4.95E-02,0.166,,,
2.002,0.292,7.151E-02,0.241,,,
2.035,0.285,9.587E-02,0.324,,,
2.069,0.279,0.112,0.381,,,
2.102,0.270,0.128,0.442,,,
2.135,0.266,0.138,0.477,,,
2.169,0.266,0.141,0.487,,,
2.202,0.266,0.141,0.487,,,
2.236,0.269,0.133,0.459,,,
2.269,0.273,0.125,0.429,,,
2.302,0.280,0.110,0.375,,,
2.336,0.286,9.351E-02,0.316,,,
2.369,0.295,6.993E-02,0.233,,,
2.402,0.300,4.322E-02,0.143,,,
2.436,0.303,1.414E-02,4.66E-02,,,
2.469,0.303,-1.886E-02,-6.226E-02,,,
2.503,0.297,-4.558E-02,-0.152,,,
2.536,0.291,-6.993E-02,-0.236,,,
2.569,0.284,-9.351E-02,-0.318,,,
2.603,0.276,-0.112,-0.387,,,
2.636,0.269,-0.126,-0.438,,,
2.669,0.264,-0.132,-0.464,,,
2.703,0.259,-0.136,-0.483,,,
2.736,0.261,-0.136,-0.480,,,
2.769,0.263,-0.130,-0.460,,,
2.803,0.269,-0.123,-0.428,,,
2.836,0.273,-0.111,-0.385,,,
2.870,0.281,-9.272E-02,-0.318,,,
2.903,0.287,-7.229E-02,-0.247,,,
2.936,0.294,-4.95E-02,-0.167,,,
2.970,0.299,-2.279E-02,-7.617E-02,,,
3.003,0.299,6.286E-03,2.099E-02,,,
3.036,0.299,2.829E-02,9.421E-02,,,
3.070,0.294,5.5E-02,0.185,,,
3.103,0.288,7.858E-02,0.267,,,
3.136,0.282,9.744E-02,0.333,,,
3.170,0.277,0.112,0.386,,,
3.203,0.270,0.130,0.447,,,
3.237,0.265,0.134,0.470,,,
3.270,0.268,0.138,0.476,,,
3.303,0.269,0.135,0.466,,,
3.337,0.272,0.132,0.452,,,
3.370,0.277,0.120,0.410,,,
3.403,0.283,0.105,0.354,,,
3.437,0.290,8.251E-02,0.277,,,
3.470,0.298,5.972E-02,0.198,,,
3.504,0.301,3.457E-02,0.114,,,
3.537,0.303,5.5E-03,1.818E-02,,,
3.570,0.303,-2.357E-02,-7.776E-02,,,
3.604,0.298,-5.108E-02,-0.170,,,
3.637,0.290,-7.229E-02,-0.244,,,
3.670,0.283,-9.115E-02,-0.312,,,
3.704,0.277,-0.108,-0.370,,,
3.737,0.271,-0.120,-0.417,,,
3.770,0.265,-0.130,-0.458,,,
3.804,0.263,-0.133,-0.467,,,
3.837,0.262,-0.130,-0.462,,,
3.871,0.264,-0.125,-0.442,,,
3.904,0.268,-0.116,-0.409,,,
3.937,0.276,-0.102,-0.355,,,
3.971,0.281,-8.565E-02,-0.296,,,
4.004,0.286,-6.522E-02,-0.224,,,
4.037,0.292,-4.322E-02,-0.147,,,
4.071,0.296,-1.65E-02,-5.565E-02,,,
4.104,0.296,1.1E-02,3.712E-02,,,
4.137,0.295,3.3E-02,0.111,,,
4.171,0.291,6.129E-02,0.208,,,
4.204,0.288,8.251E-02,0.279,,,
4.238,0.281,0.102,0.349,,,
4.271,0.276,0.117,0.401,,,
4.304,0.272,0.129,0.443,,,
4.338,0.270,0.135,0.465,,,
4.371,0.270,0.137,0.469,,,
4.404,0.272,0.134,0.459,,,
4.438,0.273,0.130,0.446,,,
4.471,0.280,0.115,0.389,,,
4.505,0.284,0.103,0.348,,,
4.538,0.293,7.936E-02,0.264,,,
4.571,0.299,5.579E-02,0.185,,,
4.605,0.301,2.907E-02,9.631E-02,,,
4.638,0.301,1.572E-03,5.222E-03,,,
4.671,0.299,-2.75E-02,-9.161E-02,,,
4.705,0.295,-5.265E-02,-0.177,,,
4.738,0.288,-7.701E-02,-0.262,,,
4.771,0.279,-9.194E-02,-0.318,,,
4.805,0.273,-0.108,-0.375,,,
4.838,0.268,-0.119,-0.417,,,
4.872,0.264,-0.124,-0.440,,,
4.905,0.262,-0.125,-0.445,,,
4.938,0.262,-0.125,-0.445,,,
4.972,0.265,-0.122,-0.431,,,
5.005,0.270,-0.110,-0.387,,,
5.038,0.277,-9.665E-02,-0.336,,,